# Frequency [GHz] 	Fouriercomponent
-3.24645	 0.876707
-3.24312	 0.681805
-3.23978	 0.656874
-3.23645	 0.783484
-3.23312	 0.717061
-3.22978	 0.856731
-3.22645	 0.571014
-3.22312	 0.60112
-3.21979	 0.673213
-3.21645	 0.485093
-3.21312	 0.723885
-3.20979	 0.652301
-3.20645	 0.827304
-3.20312	 0.984729
-3.19979	 0.711337
-3.19645	 0.916374
-3.19312	 0.482634
-3.18979	 0.538217
-3.18645	 0.45877
-3.18312	 0.855592
-3.17979	 0.512825
-3.17645	 1.13119
-3.17312	 1.07566
-3.16979	 0.730584
-3.16646	 0.717014
-3.16312	 0.64058
-3.15979	 0.917143
-3.15646	 0.779425
-3.15312	 0.732409
-3.14979	 1.11003
-3.14646	 0.890056
-3.14312	 0.89518
-3.13979	 0.646309
-3.13646	 0.293633
-3.13312	 1.00155
-3.12979	 0.817684
-3.12646	 0.643382
-3.12313	 0.696542
-3.11979	 0.622223
-3.11646	 0.780937
-3.11313	 1.02002
-3.10979	 0.731101
-3.10646	 0.840999
-3.10313	 0.764018
-3.09979	 0.592054
-3.09646	 0.771279
-3.09313	 1.32245
-3.08979	 0.917735
-3.08646	 0.738961
-3.08313	 0.978765
-3.07979	 0.608933
-3.07646	 0.668219
-3.07313	 0.85921
-3.0698	 0.523513
-3.06646	 0.801666
-3.06313	 0.595894
-3.0598	 0.754426
-3.05646	 0.808423
-3.05313	 0.674506
-3.0498	 0.655504
-3.04646	 0.811064
-3.04313	 0.803467
-3.0398	 0.651977
-3.03646	 0.612773
-3.03313	 0.562353
-3.0298	 0.656032
-3.02646	 0.776918
-3.02313	 0.580713
-3.0198	 0.630289
-3.01647	 0.709651
-3.01313	 0.473134
-3.0098	 0.843392
-3.00647	 1.09996
-3.00313	 0.639984
-2.9998	 0.735294
-2.99647	 0.480217
-2.99313	 0.813051
-2.9898	 0.512847
-2.98647	 1.08816
-2.98313	 0.83547
-2.9798	 0.822927
-2.97647	 0.70237
-2.97314	 0.70765
-2.9698	 0.910196
-2.96647	 0.989339
-2.96314	 0.950128
-2.9598	 0.646114
-2.95647	 0.934351
-2.95314	 0.801387
-2.9498	 1.24979
-2.94647	 0.953595
-2.94314	 0.739849
-2.9398	 0.999815
-2.93647	 0.890248
-2.93314	 0.718649
-2.9298	 1.02864
-2.92647	 0.7781
-2.92314	 0.918357
-2.91981	 1.27976
-2.91647	 0.748039
-2.91314	 0.988653
-2.90981	 0.637143
-2.90647	 0.522257
-2.90314	 0.517709
-2.89981	 0.919747
-2.89647	 0.741846
-2.89314	 0.650459
-2.88981	 0.758066
-2.88647	 0.725773
-2.88314	 0.998514
-2.87981	 1.00925
-2.87647	 0.644467
-2.87314	 0.774644
-2.86981	 0.490843
-2.86648	 0.828496
-2.86314	 0.643449
-2.85981	 0.671845
-2.85648	 0.499226
-2.85314	 0.910143
-2.84981	 0.668973
-2.84648	 0.531608
-2.84314	 0.639552
-2.83981	 0.397837
-2.83648	 0.624012
-2.83314	 0.774018
-2.82981	 0.598416
-2.82648	 0.732737
-2.82315	 1.07237
-2.81981	 0.78224
-2.81648	 0.84472
-2.81315	 0.945117
-2.80981	 0.46638
-2.80648	 0.712692
-2.80315	 0.659442
-2.79981	 0.634827
-2.79648	 0.790923
-2.79315	 0.865232
-2.78981	 0.880979
-2.78648	 0.869351
-2.78315	 0.818494
-2.77981	 0.868021
-2.77648	 0.821029
-2.77315	 0.797269
-2.76982	 0.635703
-2.76648	 1.0069
-2.76315	 0.661726
-2.75982	 0.950581
-2.75648	 0.991536
-2.75315	 0.603526
-2.74982	 0.586488
-2.74648	 0.854885
-2.74315	 0.623283
-2.73982	 0.866316
-2.73648	 0.723646
-2.73315	 0.674192
-2.72982	 0.647993
-2.72648	 0.944157
-2.72315	 0.903202
-2.71982	 0.778266
-2.71649	 0.72553
-2.71315	 0.419513
-2.70982	 0.953042
-2.70649	 0.810364
-2.70315	 0.62856
-2.69982	 0.79799
-2.69649	 0.928913
-2.69315	 0.880582
-2.68982	 0.683547
-2.68649	 0.764278
-2.68315	 0.751512
-2.67982	 0.689934
-2.67649	 0.689172
-2.67316	 0.952513
-2.66982	 0.709731
-2.66649	 0.671216
-2.66316	 0.668055
-2.65982	 0.804054
-2.65649	 0.670903
-2.65316	 0.925459
-2.64982	 0.572294
-2.64649	 1.00409
-2.64316	 0.802681
-2.63982	 0.612962
-2.63649	 0.645461
-2.63316	 1.06712
-2.62982	 0.543788
-2.62649	 0.846154
-2.62316	 0.817532
-2.61983	 0.409929
-2.61649	 0.692338
-2.61316	 0.773555
-2.60983	 0.792119
-2.60649	 0.637424
-2.60316	 0.574685
-2.59983	 0.817482
-2.59649	 0.803803
-2.59316	 0.760638
-2.58983	 0.736031
-2.58649	 0.606201
-2.58316	 0.884267
-2.57983	 1.21328
-2.57649	 0.755661
-2.57316	 0.856783
